rep age_class pos neg total
27 5 124797 3254 128051
27 6 100157 2238 102395
27 7 68396 737 69133
27 8 69662 160 69822
28 0 18016 56401 74417
28 1 24756 49437 74193
28 2 36379 43664 80043
28 3 56108 30098 86206
28 4 132322 17100 149422
28 5 124739 3312 128051
28 6 100513 1882 102395
28 7 68571 562 69133
28 8 69663 159 69822
29 0 10745 63672 74417
29 1 41348 32845 74193
29 2 62318 17725 80043
29 3 67054 19152 86206
29 4 124966 24456 149422
29 5 123179 4872 128051
29 6 99546 2849 102395
29 7 68130 1003 69133
29 8 69575 247 69822
30 0 12722 61695 74417
30 1 38339 35854 74193
30 2 64124 15919 80043
30 3 65571 20635 86206
30 4 124406 25016 149422
30 5 125503 2548 128051
30 6 100959 1436 102395
30 7 68622 511 69133
30 8 69687 135 69822
31 0 7043 67374 74417
31 1 34108 40085 74193
31 2 60326 19717 80043
31 3 77761 8445 86206
31 4 127813 21609 149422
31 5 121876 6175 128051
31 6 98706 3689 102395
31 7 67909 1224 69133
31 8 69461 361 69822
32 0 803 73614 74417
32 1 10205 63988 74193
32 2 16739 63304 80043
32 3 28877 57329 86206
32 4 87896 61526 149422
32 5 114943 13108 128051
32 6 93137 9258 102395
32 7 65544 3589 69133
32 8 68687 1135 69822
33 0 15513 58904 74417
33 1 37021 37172 74193
33 2 34846 45197 80043
33 3 41111 45095 86206
33 4 99790 49632 149422
33 5 111469 16582 128051
33 6 90345 12050 102395
33 7 62752 6381 69133
33 8 66433 3389 69822
34 0 13537 60880 74417
34 1 50977 23216 74193
34 2 58624 21419 80043
34 3 69412 16794 86206
34 4 145205 4217 149422
34 5 127520 531 128051
34 6 102219 176 102395
34 7 69069 64 69133
34 8 69822 0 69822
35 0 6267 68150 74417
35 1 20553 53640 74193
35 2 41580 38463 80043
35 3 55478 30728 86206
35 4 96746 52676 149422
35 5 119572 8479 128051
35 6 95640 6755 102395
35 7 66205 2928 69133
35 8 69371 451 69822
36 0 4178 70239 74417
36 1 26181 48012 74193
36 2 60901 19142 80043
36 3 62515 23691 86206
36 4 140133 9289 149422
36 5 124362 3689 128051
36 6 100405 1990 102395
36 7 68346 787 69133
36 8 69579 243 69822
37 0 7819 66598 74417
37 1 28761 45432 74193
37 2 31245 48798 80043
37 3 57305 28901 86206
37 4 99692 49730 149422
37 5 120263 7788 128051
37 6 97121 5274 102395
37 7 66743 2390 69133
37 8 68709 1113 69822
38 0 22378 52039 74417
38 1 21841 52352 74193
38 2 26426 53617 80043
38 3 50244 35962 86206
38 4 133062 16360 149422
38 5 122305 5746 128051
38 6 98634 3761 102395
38 7 67889 1244 69133
38 8 69399 423 69822
39 0 418 73999 74417
39 1 21094 53099 74193
39 2 39318 40725 80043
39 3 68785 17421 86206
39 4 129206 20216 149422
39 5 121747 6304 128051
39 6 98768 3627 102395
39 7 67517 1616 69133
39 8 69292 530 69822
40 0 4968 69449 74417
40 1 59584 14609 74193
40 2 56411 23632 80043
40 3 64946 21260 86206
40 4 125377 24045 149422
40 5 124085 3966 128051
40 6 100024 2371 102395
40 7 68109 1024 69133
40 8 69501 321 69822
41 0 19234 55183 74417
41 1 26712 47481 74193
41 2 27926 52117 80043
41 3 41239 44967 86206
41 4 116863 32559 149422
41 5 125034 3017 128051
41 6 100557 1838 102395
41 7 68403 730 69133
41 8 69732 90 69822
42 0 4088 70329 74417
42 1 19182 55011 74193
42 2 15452 64591 80043
42 3 17070 69136 86206
42 4 105962 43460 149422
42 5 114286 13765 128051
42 6 92015 10380 102395
42 7 64577 4556 69133
42 8 67416 2406 69822
43 0 32 74385 74417
43 1 10941 63252 74193
43 2 58145 21898 80043
43 3 73397 12809 86206
43 4 147619 1803 149422
43 5 127370 681 128051
43 6 102077 318 102395
43 7 69031 102 69133
43 8 69816 6 69822
44 0 4871 69546 74417
44 1 36786 37407 74193
44 2 46274 33769 80043
44 3 74806 11400 86206
44 4 139253 10169 149422
44 5 127298 753 128051
44 6 101861 534 102395
44 7 68970 163 69133
44 8 69814 8 69822
45 0 8673 65744 74417
45 1 23492 50701 74193
45 2 44982 35061 80043
45 3 47346 38860 86206
45 4 142575 6847 149422
45 5 126014 2037 128051
45 6 101552 843 102395
45 7 68830 303 69133
45 8 69787 35 69822
46 0 6349 68068 74417
46 1 42850 31343 74193
46 2 39542 40501 80043
46 3 49542 36664 86206
46 4 110524 38898 149422
46 5 115553 12498 128051
46 6 93976 8419 102395
46 7 65720 3413 69133
46 8 68888 934 69822
47 0 3566 70851 74417
47 1 27905 46288 74193
47 2 31334 48709 80043
47 3 30571 55635 86206
47 4 84178 65244 149422
47 5 104890 23161 128051
47 6 85956 16439 102395
47 7 61544 7589 69133
47 8 65768 4054 69822
48 0 9506 64911 74417
48 1 46721 27472 74193
48 2 47446 32597 80043
48 3 75858 10348 86206
48 4 139808 9614 149422
48 5 127138 913 128051
48 6 101883 512 102395
48 7 68959 174 69133
48 8 69782 40 69822
49 0 3594 70823 74417
49 1 25048 49145 74193
49 2 45815 34228 80043
49 3 49483 36723 86206
49 4 135397 14025 149422
49 5 126452 1599 128051
49 6 101337 1058 102395
49 7 68859 274 69133
49 8 69773 49 69822
50 0 11819 62598 74417
50 1 28681 45512 74193
50 2 40558 39485 80043
50 3 52681 33525 86206
50 4 129730 19692 149422
50 5 121525 6526 128051
50 6 98782 3613 102395
50 7 67722 1411 69133
50 8 69541 281 69822
51 0 1737 72680 74417
51 1 16254 57939 74193
51 2 26435 53608 80043
51 3 47946 38260 86206
51 4 103498 45924 149422
51 5 117289 10762 128051
51 6 94514 7881 102395
51 7 65698 3435 69133
51 8 68482 1340 69822
52 0 279 74138 74417
52 1 3890 70303 74193
52 2 13307 66736 80043
52 3 18886 67320 86206
52 4 84524 64898 149422
52 5 104712 23339 128051
52 6 84147 18248 102395
52 7 60488 8645 69133
52 8 65768 4054 69822
53 0 5196 69221 74417
53 1 7060 67133 74193
53 2 27287 52756 80043
53 3 30206 56000 86206
53 4 98960 50462 149422
53 5 113459 14592 128051
53 6 92499 9896 102395
53 7 64557 4576 69133
53 8 67987 1835 69822
54 0 7395 67022 74417
54 1 11587 62606 74193
54 2 26280 53763 80043
54 3 61605 24601 86206
54 4 105439 43983 149422
54 5 118776 9275 128051
54 6 96121 6274 102395
54 7 66281 2852 69133
54 8 68955 867 69822
55 0 15995 58422 74417
55 1 25956 48237 74193
55 2 37007 43036 80043
55 3 65559 20647 86206
55 4 126785 22637 149422
55 5 123055 4996 128051
55 6 100100 2295 102395
55 7 68251 882 69133
55 8 69501 321 69822
56 0 10235 64182 74417
56 1 25669 48524 74193
56 2 30176 49867 80043
56 3 37107 49099 86206
56 4 98412 51010 149422
56 5 118986 9065 128051
56 6 96166 6229 102395
56 7 66014 3119 69133
56 8 68702 1120 69822
57 0 20210 54207 74417
57 1 28554 45639 74193
57 2 36831 43212 80043
57 3 65947 20259 86206
57 4 117575 31847 149422
57 5 119441 8610 128051
57 6 97318 5077 102395
57 7 67262 1871 69133
57 8 69081 741 69822
58 0 720 73697 74417
58 1 23687 50506 74193
58 2 48228 31815 80043
58 3 49085 37121 86206
58 4 105478 43944 149422
58 5 117633 10418 128051
58 6 95572 6823 102395
58 7 66060 3073 69133
58 8 68571 1251 69822
59 0 19791 54626 74417
59 1 37489 36704 74193
59 2 43574 36469 80043
59 3 50780 35426 86206
59 4 117827 31595 149422
59 5 126144 1907 128051
59 6 101264 1131 102395
59 7 68734 399 69133
59 8 69729 93 69822
60 0 14789 59628 74417
60 1 34630 39563 74193
60 2 67748 12295 80043
60 3 65280 20926 86206
60 4 125872 23550 149422
60 5 125069 2982 128051
60 6 100371 2024 102395
60 7 68355 778 69133
60 8 69436 386 69822
61 0 36123 38294 74417
61 1 65315 8878 74193
61 2 68351 11692 80043
61 3 77188 9018 86206
61 4 144691 4731 149422
61 5 127319 732 128051
61 6 102079 316 102395
61 7 69057 76 69133
61 8 69812 10 69822
62 0 3703 70714 74417
62 1 22001 52192 74193
62 2 56211 23832 80043
62 3 55595 30611 86206
62 4 119710 29712 149422
62 5 118496 9555 128051
62 6 97168 5227 102395
62 7 66667 2466 69133
62 8 69049 773 69822
63 0 5598 68819 74417
63 1 29761 44432 74193
63 2 28156 51887 80043
63 3 38346 47860 86206
63 4 114242 35180 149422
63 5 121366 6685 128051
63 6 98072 4323 102395
63 7 67200 1933 69133
63 8 69124 698 69822
64 0 11072 63345 74417
64 1 21731 52462 74193
64 2 27861 52182 80043
64 3 58144 28062 86206
64 4 128618 20804 149422
64 5 121157 6894 128051
64 6 97903 4492 102395
64 7 67367 1766 69133
64 8 69134 688 69822
65 0 27222 47195 74417
65 1 39688 34505 74193
65 2 50926 29117 80043
65 3 74397 11809 86206
65 4 135307 14115 149422
65 5 124840 3211 128051
65 6 100809 1586 102395
65 7 68497 636 69133
65 8 69650 172 69822
66 0 4373 70044 74417
66 1 25557 48636 74193
66 2 34520 45523 80043
66 3 46210 39996 86206
66 4 123810 25612 149422
66 5 120402 7649 128051
66 6 98240 4155 102395
66 7 67125 2008 69133
66 8 69116 706 69822
67 0 566 73851 74417
67 1 12644 61549 74193
67 2 21978 58065 80043
67 3 18860 67346 86206
67 4 105769 43653 149422
67 5 118253 9798 128051
67 6 95643 6752 102395
67 7 66604 2529 69133
67 8 68731 1091 69822
68 0 22044 52373 74417
68 1 50581 23612 74193
68 2 71371 8672 80043
68 3 82153 4053 86206
68 4 143226 6196 149422
68 5 127506 545 128051
68 6 102219 176 102395
68 7 69105 28 69133
68 8 69822 0 69822
69 0 12188 62229 74417
69 1 28008 46185 74193
69 2 29514 50529 80043
69 3 38879 47327 86206
69 4 104028 45394 149422
69 5 123447 4604 128051
69 6 98592 3803 102395
69 7 67626 1507 69133
69 8 69464 358 69822
70 0 10019 64398 74417
70 1 43297 30896 74193
70 2 72724 7319 80043
70 3 83385 2821 86206
70 4 147532 1890 149422
70 5 127786 265 128051
70 6 102327 68 102395
70 7 69123 10 69133
70 8 69822 0 69822
71 0 14864 59553 74417
71 1 29054 45139 74193
71 2 57330 22713 80043
71 3 82479 3727 86206
71 4 146075 3347 149422
71 5 127883 168 128051
71 6 102312 83 102395
71 7 69117 16 69133
71 8 69815 7 69822
72 0 18345 56072 74417
72 1 26029 48164 74193
72 2 37578 42465 80043
72 3 43457 42749 86206
72 4 111025 38397 149422
72 5 120736 7315 128051
72 6 97350 5045 102395
72 7 66949 2184 69133
72 8 69024 798 69822
73 0 5167 69250 74417
73 1 28285 45908 74193
73 2 50180 29863 80043
73 3 77470 8736 86206
73 4 133354 16068 149422
73 5 125544 2507 128051
73 6 100835 1560 102395
73 7 68630 503 69133
73 8 69704 118 69822
74 0 24270 50147 74417
74 1 43332 30861 74193
74 2 52215 27828 80043
74 3 66621 19585 86206
74 4 143641 5781 149422
74 5 126911 1140 128051
74 6 101884 511 102395
74 7 68961 172 69133
74 8 69810 12 69822
75 0 41486 32931 74417
75 1 43986 30207 74193
75 2 53049 26994 80043
75 3 61303 24903 86206
75 4 128466 20956 149422
75 5 125582 2469 128051
75 6 100358 2037 102395
75 7 68389 744 69133
75 8 69674 148 69822
76 0 4526 69891 74417
76 1 44249 29944 74193
76 2 48667 31376 80043
76 3 71279 14927 86206
76 4 133112 16310 149422
76 5 125560 2491 128051
76 6 100733 1662 102395
76 7 68584 549 69133
76 8 69665 157 69822
77 0 6690 67727 74417
77 1 42122 32071 74193
77 2 42532 37511 80043
77 3 52394 33812 86206
77 4 115611 33811 149422
77 5 125606 2445 128051
77 6 100636 1759 102395
77 7 68672 461 69133
77 8 69724 98 69822
78 0 12434 61983 74417
78 1 37379 36814 74193
78 2 65874 14169 80043
78 3 69203 17003 86206
78 4 124828 24594 149422
78 5 120412 7639 128051
78 6 97917 4478 102395
78 7 66927 2206 69133
78 8 69202 620 69822
79 0 7496 66921 74417
79 1 18624 55569 74193
79 2 33573 46470 80043
79 3 63110 23096 86206
